ID,GENDER,EMPLOYMENT STATUS,SECTOR,MARITAL STATUS,CREDIT SCORE,SCOREGRADE,CRR,CURRENCY,PRINCIPAL_DISBURSED,EMI,OD_DAYS,PRUDENTIAL_CLASSIFICATION,RISK_GRADE,OD_AMOUNT,LOAN_STATUS
40790,MALE,EMPLOYED,MANUFACTURING & PROCESSING,MARRIED,640,GG,A5,KES,"66,264.71","6,078.26",0,NORMAL,A1-A6,33.82,CURRENT
40791,FEMALE,EMPLOYED,TRANSPORT & COMMUNICATION,SINGLE,547,JJ,A5,KES,"69,056.34","6,435.84",18,NORMAL,A1-A6,"6,418.10",CURRENT
40795,FEMALE,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,SINGLE,749,BB,A5,KES,"671,000.00","61,176.28",0,NORMAL,A1-A6,0,CURRENT
40800,FEMALE,EMPLOYED,NON PROFIT INSTITUTIONS,MARRIED,638,HH,B10,KES,"510,781.12","47,629.30",202,DOUBTFUL,B9,"340,133.20",CURRENT
40801,MALE,SELF-EMPLOYED,B20 Loans,0,581,JJ,B20,KES,"164,000.00","15,316.85",323,DOUBTFUL,B9,"186,002.37",EXPIRED
40804,MALE,EMPLOYED,BUSINESS SERVICES,MARRIED,532,JJ,B11,KES,"55,000.00","5,125.27",323,DOUBTFUL,B9,"64,353.81",CURRENT
40805,FEMALE,EMPLOYED,BUILDING & CONSTRUCTION,OTHER,684,EE,B9,KES,"491,242.72","45,834.48",111,SUBSTANDARD,B8,"154,055.56",CURRENT
40808,FEMALE,SELF-EMPLOYED,"SOCIAL, COMMUNITY & PERSONAL SERVIC",SINGLE,588,II,B10,KES,"97,038.99","4,181.61",169,SUBSTANDARD,B8,"27,276.28",CURRENT
40810,MALE,EMPLOYED,"SOCIAL, COMMUNITY & PERSONAL SERVIC",SINGLE,610,II,B10,KES,"51,000.00","4,752.51",141,SUBSTANDARD,B8,"25,341.47",CURRENT
40813,FEMALE,EMPLOYED,FINANCE & INSURANCE,0,685,EE,A5,KES,"109,000.00","9,537.03",49,WATCH,B7,"19,612.96",CURRENT
40815,FEMALE,EMPLOYED,BUSINESS SERVICES,MARRIED,585,II,B9,KES,"580,000.00","54,048.22",110,SUBSTANDARD,B8,"225,607.26",CURRENT
40816,MALE,EMPLOYED,B20 Loans,0,631,HH,B20,KES,"554,000.00","51,741.06",263,DOUBTFUL,B9,"501,381.45",EXPIRED
40818,FEMALE,EMPLOYED,TOURISM & HOSPITALITY,SINGLE,638,HH,A5,KES,"67,000.00","5,550.23",0,NORMAL,A1-A6,0,CURRENT
40819,FEMALE,EMPLOYED,GOVERNMENT,MARRIED,658,GG,A5,KES,"715,000.00","66,628.39",0,NORMAL,A1-A6,0,CURRENT
40822,FEMALE,0,GOVERNMENT,MARRIED,688,EE,A5,KES,"127,152.20","3,569.65",0,NORMAL,A1-A6,0,CURRENT
40824,0,EMPLOYED,INDIVIDUALS,MARRIED,647,GG,A5,KES,"78,076.11","7,235.55",0,NORMAL,A1-A6,0,CURRENT
40825,FEMALE,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,MARRIED,760,AA,A5,KES,"63,000.00","5,293.31",0,NORMAL,A1-A6,0,CURRENT
40827,0,SELF-EMPLOYED,"SOCIAL, COMMUNITY & PERSONAL SERVIC",MARRIED,601,II,A5,KES,"383,192.70","35,711.37",18,NORMAL,A1-A6,"36,224.74",CURRENT
40828,MALE,0,BUSINESS SERVICES,0,#N/A,#N/A,B10,KES,"1,000,000.00","93,186.55",169,SUBSTANDARD,B8,"603,335.80",CURRENT
40829,MALE,EMPLOYED,GOVERNMENT,MARRIED,663,FF,B11,KES,"78,746.91","3,726.81",169,SUBSTANDARD,B8,"24,309.67",CURRENT
40835,FEMALE,EMPLOYED,BUSINESS SERVICES,0,778,AA,A5,KES,"211,593.44","19,667.62",0,NORMAL,A1-A6,0,CURRENT
40836,MALE,EMPLOYED,B20 Loans,0,605,II,B20,KES,"245,000.00","22,881.89",294,DOUBTFUL,B9,"230,635.72",EXPIRED
40838,0,0,INDIVIDUALS,0,611,II,A5,KES,"57,000.00","5,307.17",0,NORMAL,A1-A6,0,CURRENT
40839,MALE,EMPLOYED,TRANSPORT & COMMUNICATION,SINGLE,623,HH,B11,KES,"97,000.00","9,039.10",263,DOUBTFUL,B9,"90,891.63",CURRENT
40840,FEMALE,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,OTHER,606,II,B9,KES,"87,049.46","7,218.15",49,WATCH,B7,"15,116.93",CURRENT
40841,FEMALE,EMPLOYED,FINANCE & INSURANCE,MARRIED,700,DD,B10,KES,"170,685.39","6,719.71",0,NORMAL,A1-A6,0,CURRENT
40843,FEMALE,0,"SOCIAL, COMMUNITY & PERSONAL SERVIC",0,740,BB,A5,KES,"720,075.00","67,495.44",18,NORMAL,A1-A6,"43,219.61",CURRENT
40844,MALE,EMPLOYED,"SOCIAL, COMMUNITY & PERSONAL SERVIC",0,600,II,B9,KES,"132,062.45","12,382.35",110,SUBSTANDARD,B8,"48,060.39",CURRENT
40845,FEMALE,EMPLOYED,B20 Loans,SINGLE,509,JJ,B20,KES,"90,000.00","8,405.59",294,DOUBTFUL,B9,"92,466.13",EXPIRED
40849,MALE,EMPLOYED,CONSUMER DURABLES,0,726,CC,A5,KES,"63,341.25","5,911.81",18,NORMAL,A1-A6,"6,005.89",CURRENT
40850,MALE,0,PETROLEUM & NATURAL GAS,0,640,GG,B10,KES,"600,000.00","55,911.93",141,SUBSTANDARD,B8,"242,649.36",CURRENT
40852,FEMALE,EMPLOYED,MANUFACTURING & PROCESSING,MARRIED,631,HH,B10,KES,"51,023.12","4,756.56",78,WATCH,B7,"15,295.71",CURRENT
40856,FEMALE,EMPLOYED,GOVERNMENT,MARRIED,660,FF,B10,KES,"620,816.08","28,733.73",169,SUBSTANDARD,B8,"177,362.52",CURRENT
40858,MALE,SELF-EMPLOYED,TRANSPORT & COMMUNICATION,SINGLE,547,JJ,B11,KES,"69,000.00","6,433.19",260,DOUBTFUL,B9,"62,592.06",CURRENT
40861,FEMALE,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,MARRIED,580,JJ,B11,KES,"604,000.00","56,313.69",293,DOUBTFUL,B9,"595,421.84",CURRENT
40870,MALE,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,MARRIED,627,HH,B11,KES,"55,058.26","4,965.83",260,DOUBTFUL,B9,"46,167.31",CURRENT
40876,FEMALE,0,INDIVIDUALS,0,662,FF,B9,KES,"767,000.00","71,510.92",78,WATCH,B7,"224,137.28",CURRENT
40880,FEMALE,EMPLOYED,"SOCIAL, COMMUNITY & PERSONAL SERVIC",MARRIED,720,CC,A5,KES,"103,810.72","10,098.94",0,NORMAL,A1-A6,0,CURRENT
40892,0,0,INDIVIDUALS,0,621,HH,B11,KES,"405,000.00","37,720.06",232,DOUBTFUL,B9,"299,361.34",CURRENT
40894,FEMALE,SELF-EMPLOYED,HUNTING LIVESTOCK AND FISHING,MARRIED,610,II,A5,KES,"51,766.15","4,286.63",0,NORMAL,A1-A6,0,CURRENT
40900,FEMALE,EMPLOYED,BUSINESS SERVICES,SINGLE,549,JJ,B9,KES,"61,000.00","4,045.99",109,SUBSTANDARD,B8,"17,042.42",CURRENT
40901,0,EMPLOYED,"SOCIAL, COMMUNITY & PERSONAL SERVIC",MARRIED,663,FF,B9,KES,"131,330.16","12,275.48",78,WATCH,B7,"36,555.26",CURRENT
40904,MALE,SELF-EMPLOYED,TRANSPORT & COMMUNICATION,MARRIED,573,JJ,B11,KES,"134,000.00","12,493.44",201,DOUBTFUL,B9,"96,630.18",CURRENT
40907,MALE,SELF-EMPLOYED,AGRICULTURE,SINGLE,683,EE,B10,KES,"667,000.00","62,187.46",201,DOUBTFUL,B9,"457,119.95",CURRENT
40910,MALE,EMPLOYED,TOURISM & HOSPITALITY,MARRIED,578,JJ,A5,KES,"62,076.75","5,793.38",0,NORMAL,A1-A6,0,CURRENT
40912,#N/A,0,WHOLESALE AND RETAIL TRADE,0,#N/A,#N/A,A5,KES,"113,315.76","10,595.81",0,NORMAL,A1-A6,0,CURRENT
40916,#N/A,0,FINANCE & INSURANCE,MARRIED,686,EE,A5,KES,"195,000.00","17,853.36",14,NORMAL,A1-A6,"17,629.94",CURRENT
40917,FEMALE,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,MARRIED,530,JJ,B10,KES,"66,000.00","6,152.91",137,SUBSTANDARD,B8,"31,805.09",CURRENT
40923,MALE,EMPLOYED,FINANCE & INSURANCE,0,659,GG,B9,KES,"76,226.99","7,102.76",14,NORMAL,A1-A6,"7,178.65",CURRENT
40928,FEMALE,SELF-EMPLOYED,BUSINESS SERVICES,SINGLE,687,EE,B9,KES,"800,000.00","74,580.70",76,WATCH,B7,"206,902.12",CURRENT
40929,MALE,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,0,671,FF,A5,KES,"190,021.51","17,717.16",15,NORMAL,A1-A6,"17,921.03",CURRENT
40941,0,SELF-EMPLOYED,B20 Loans,MARRIED,526,JJ,B20,KES,"13,000.00","2,934.46",288,DOUBTFUL,B9,"4,616.05",EXPIRED
40943,MALE,SELF-EMPLOYED,B20 Loans,MARRIED,613,II,B20,KES,"777,000.00","72,572.36",320,DOUBTFUL,B9,"879,347.18",EXPIRED
40944,MALE,EMPLOYED,NON PROFIT INSTITUTIONS,SINGLE,746,BB,A5,KES,"63,000.00","5,534.08",14,NORMAL,A1-A6,"5,593.21",CURRENT
40948,MALE,SELF-EMPLOYED,MANUFACTURING & PROCESSING,0,625,HH,B11,KES,"150,000.00","13,983.87",288,DOUBTFUL,B9,"141,911.01",CURRENT
40952,MALE,EMPLOYED,BUSINESS SERVICES,0,709,DD,A5,KES,"65,000.00","5,011.25",0,NORMAL,A1-A6,0,CURRENT
40953,MALE,EMPLOYED,NON PROFIT INSTITUTIONS,MARRIED,547,JJ,B11,KES,"94,000.00","8,763.23",197,DOUBTFUL,B9,"67,662.88",CURRENT
40964,0,SELF-EMPLOYED,MANUFACTURING & PROCESSING,MARRIED,570,JJ,B9,KES,"85,231.82","8,079.24",106,SUBSTANDARD,B8,"32,101.45",CURRENT
40968,MALE,SELF-EMPLOYED,BUILDING & CONSTRUCTION,0,683,EE,B10,KES,"70,713.00","6,675.38",0,NORMAL,A1-A6,0,CURRENT
40972,MALE,EMPLOYED,MANUFACTURING & PROCESSING,0,633,HH,B10,KES,"341,000.00","31,790.04",167,SUBSTANDARD,B8,"206,119.89",CURRENT
40981,MALE,EMPLOYED,TOURISM & HOSPITALITY,MARRIED,532,JJ,A5,KES,"74,000.00","6,898.72",0,NORMAL,A1-A6,0,CURRENT
40982,FEMALE,EMPLOYED,B20 Loans,SINGLE,642,GG,B20,KES,"92,000.00","8,592.86",288,DOUBTFUL,B9,"89,846.97",EXPIRED
40986,MALE,EMPLOYED,ELECTRICITY & WATER,MARRIED,542,JJ,B9,KES,"63,052.44","5,883.70",105,SUBSTANDARD,B8,"24,679.83",CURRENT
40995,MALE,SELF-EMPLOYED,TRANSPORT & COMMUNICATION,0,747,BB,A5,KES,"237,000.00","22,099.39",0,NORMAL,A1-A6,0,CURRENT
40997,FEMALE,OTHER,BUSINESS SERVICES,0,594,II,A5,KES,"147,117.50","12,812.33",0,NORMAL,A1-A6,0,CURRENT
41006,FEMALE,EMPLOYED,AGRICULTURE,MARRIED,618,HH,B9,KES,"600,480.92","49,738.59",75,WATCH,B7,"153,428.55",CURRENT
41021,FEMALE,SELF-EMPLOYED,B20 Loans,SINGLE,543,JJ,B20,KES,"97,000.00","9,060.11",319,DOUBTFUL,B9,"107,492.96",EXPIRED
41028,MALE,SELF-EMPLOYED,TRANSPORT & COMMUNICATION,MARRIED,590,II,A5,KES,"300,000.00","27,973.90",13,NORMAL,A1-A6,"15,029.75",CURRENT
41032,MALE,SELF-EMPLOYED,TRANSPORT & COMMUNICATION,0,734,BB,A5,KES,"149,000.00","13,893.71",0,NORMAL,A1-A6,0,CURRENT
41050,MALE,0,INDIVIDUALS,0,679,EE,A5,KES,"406,000.00","37,843.93",0,NORMAL,A1-A6,0,CURRENT
41058,FEMALE,EMPLOYED,"SOCIAL, COMMUNITY & PERSONAL SERVIC",MARRIED,682,EE,B9,KES,"54,000.00","5,035.44",12,NORMAL,A1-A6,"4,812.12",CURRENT
41074,MALE,EMPLOYED,BUILDING & CONSTRUCTION,MARRIED,591,II,A5,KES,"762,000.00","71,620.54",0,NORMAL,A1-A6,0,CURRENT
41112,FEMALE,0,INDIVIDUALS,0,688,EE,A5,KES,"272,108.94","25,382.40",0,NORMAL,A1-A6,0,CURRENT
41113,MALE,EMPLOYED,B20 Loans,0,602,II,B20,KES,"569,000.00","53,154.58",256,DOUBTFUL,B9,"495,156.03",EXPIRED
41116,FEMALE,EMPLOYED,B20 Loans,MARRIED,612,II,B20,KES,"168,000.00","15,694.15",144,SUBSTANDARD,B8,"88,589.12",EXPIRED
41117,FEMALE,SELF-EMPLOYED,BUSINESS SERVICES,MARRIED,653,GG,B10,KES,"146,000.00","13,614.45",162,SUBSTANDARD,B8,"85,370.63",CURRENT
41120,FEMALE,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,OTHER,601,II,B9,KES,"894,208.67","83,424.42",0,NORMAL,A1-A6,0,CURRENT
41121,FEMALE,SELF-EMPLOYED,TOURISM & HOSPITALITY,MARRIED,676,FF,B9,KES,"1,225,281.56","53,645.62",73,WATCH,B7,"167,098.80",CURRENT
41123,FEMALE,EMPLOYED,TRANSPORT & COMMUNICATION,MARRIED,665,FF,A5,KES,"150,000.00","13,987.44",0,NORMAL,A1-A6,0,CURRENT
41124,0,SELF-EMPLOYED,TRANSPORT & COMMUNICATION,MARRIED,574,JJ,B11,KES,"1,000,000.00","93,249.57",256,DOUBTFUL,B9,"895,800.88",CURRENT
41127,MALE,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,SINGLE,637,HH,A5,KES,"1,000,000.00","86,197.05",42,WATCH,B7,"160,183.64",CURRENT
41129,FEMALE,SELF-EMPLOYED,"SOCIAL, COMMUNITY & PERSONAL SERVIC",SINGLE,624,HH,B10,KES,"147,572.47","5,484.47",133,SUBSTANDARD,B8,"29,267.49",CURRENT
41130,FEMALE,OTHER,TOURISM & HOSPITALITY,0,#N/A,#N/A,B11,KES,"253,000.00","23,546.43",225,DOUBTFUL,B9,"209,837.82",CURRENT
41131,FEMALE,EMPLOYED,TRANSPORT & COMMUNICATION,SINGLE,674,FF,A5,KES,"56,000.00","5,221.97",0,NORMAL,A1-A6,0,CURRENT
41137,MALE,STUDENT,"SOCIAL, COMMUNITY & PERSONAL SERVIC",0,596,II,B11,KES,"755,000.00","102,181.17",195,DOUBTFUL,B9,"456,180.93",EXPIRED
41144,MALE,EMPLOYED,B20 Loans,MARRIED,629,HH,B20,KES,"709,000.00","66,233.03",287,DOUBTFUL,B9,"726,298.18",EXPIRED
41146,FEMALE,0,BUSINESS SERVICES,0,#N/A,#N/A,B10,KES,"314,000.00","29,566.63",145,SUBSTANDARD,B8,"153,438.57",CURRENT
41148,MALE,SELF-EMPLOYED,FINANCE & INSURANCE,MARRIED,670,FF,B11,KES,"1,000,000.00","93,249.57",225,DOUBTFUL,B9,"819,048.81",CURRENT
41149,MALE,0,"SOCIAL, COMMUNITY & PERSONAL SERVIC",0,627,HH,A5,KES,"225,000.00","20,981.16",11,NORMAL,A1-A6,"10,308.84",CURRENT
41151,#N/A,0,"SOCIAL, COMMUNITY & PERSONAL SERVIC",0,#N/A,#N/A,A5,KES,"175,000.00","16,318.67",11,NORMAL,A1-A6,"12,667.94",CURRENT
41152,MALE,EMPLOYED,FINANCE & INSURANCE,SINGLE,619,HH,A5,KES,"426,065.13","39,731.42",42,WATCH,B7,"66,758.91",CURRENT
41153,0,SELF-EMPLOYED,TRANSPORT & COMMUNICATION,MARRIED,582,JJ,B10,KES,"737,000.00","68,724.94",162,SUBSTANDARD,B8,"440,001.53",CURRENT
41154,FEMALE,SELF-EMPLOYED,B20 Loans,SINGLE,588,II,B20,KES,"422,000.00","39,422.20",316,DOUBTFUL,B9,"477,330.79",EXPIRED
41155,FEMALE,SELF-EMPLOYED,B20 Loans,0,615,II,B20,KES,"406,000.00","37,927.52",316,DOUBTFUL,B9,"459,232.93",EXPIRED
41156,MALE,0,INDIVIDUALS,0,625,HH,B9,KES,"157,000.00","13,713.93",103,SUBSTANDARD,B8,"52,242.23",CURRENT
41157,FEMALE,EMPLOYED,TRANSPORT & COMMUNICATION,MARRIED,718,CC,A5,KES,"223,000.00","20,772.46",11,NORMAL,A1-A6,"4,997.89",CURRENT
41160,FEMALE,SELF-EMPLOYED,MANUFACTURING & PROCESSING,MARRIED,692,EE,A5,KES,"439,582.03","40,934.56",11,NORMAL,A1-A6,"41,304.65",CURRENT
41161,MALE,SELF-EMPLOYED,B20 Loans,MARRIED,637,HH,B20,KES,"400,000.00","37,367.01",316,DOUBTFUL,B9,"446,945.68",EXPIRED
41162,#N/A,0,WHOLESALE AND RETAIL TRADE,0,770,AA,A5,KES,"1,000,000.00","93,249.57",0,NORMAL,A1-A6,0,CURRENT
