ID,GENDER,AGE,NO_DEFAULT_LOAN,EMPLOYMENT_STATUS,SECTOR,MARITAL_STATUS,CREDIT_SCORE,SCOREGRADE,CRR,CURRENCY,NET INCOME,PRINCIPAL_AMOUNT,EMI,OD_DAYS,PRUDENTIAL_CLASSIFICATION,RISK_GRADE,AREARS,LOAN_STATUS
437985.0,MALE,37,5.0,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,MARRIED,611.0,II,B10,KES,313014.73,766000.0,"63,265.32",141.0,SUBSTANDARD,B8,"290,734.70",CURRENT
223370.0,MALE,60,2.0,EMPLOYED,FINANCE & INSURANCE,0,570.0,JJ,A5,KES,573898.89,60785.88,"2,644.92",0.0,NORMAL,A1-A6,18.71,CURRENT
295866.0,FEMALE,47,1.0,EMPLOYED,FINANCE & INSURANCE,0,654.0,GG,A5,KES,469896.2,169000.0,"15,748.50",19.0,NORMAL,A1-A6,"7,119.52",CURRENT
96043.0,0,42,0.0,0,INDIVIDUALS,0,670.0,FF,B9,KES,14910210.06,843000.0,"78,385.76",81.0,WATCH,B7,"251,681.21",CURRENT
133555.0,MALE,40,0.0,EMPLOYED,BUSINESS SERVICES,MARRIED,743.0,BB,A5,KES,106100.0,60041.66,"4,770.65",18.0,NORMAL,A1-A6,73.21,CURRENT
184227.0,MALE,32,1.0,SELF-EMPLOYED,TRANSPORT & COMMUNICATION,0,580.0,JJ,A5,KES,21335490.0,782525.05,"72,963.56",0.0,NORMAL,A1-A6,0,CURRENT
420387.0,MALE,39,5.0,EMPLOYED,MANUFACTURING & PROCESSING,MARRIED,640.0,GG,A5,KES,537819.0,66264.71,"6,078.26",0.0,NORMAL,A1-A6,33.82,CURRENT
302602.0,FEMALE,40,3.0,EMPLOYED,TRANSPORT & COMMUNICATION,SINGLE,547.0,JJ,A5,KES,499194.06,69056.34,"6,435.84",18.0,NORMAL,A1-A6,"6,418.10",CURRENT
30851.0,FEMALE,31,0.0,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,SINGLE,749.0,BB,A5,KES,4869400.0,671000.0,"61,176.28",0.0,NORMAL,A1-A6,0,CURRENT
213941.0,FEMALE,47,5.0,EMPLOYED,NON PROFIT INSTITUTIONS,MARRIED,638.0,HH,B10,KES,305537.0,510781.12,"47,629.30",202.0,DOUBTFUL,B9,"340,133.20",CURRENT
377297.0,MALE,32,8.0,SELF-EMPLOYED,,0,581.0,JJ,B20,KES,1402626.0,164000.0,"15,316.85",323.0,DOUBTFUL,B9,"186,002.37",EXPIRED
449617.0,MALE,40,3.0,EMPLOYED,BUSINESS SERVICES,MARRIED,532.0,JJ,B11,KES,328740.0,55000.0,"5,125.27",323.0,DOUBTFUL,B9,"64,353.81",CURRENT
355098.0,FEMALE,32,0.0,EMPLOYED,BUILDING & CONSTRUCTION,OTHER,684.0,EE,B9,KES,0.0,491242.72,"45,834.48",111.0,SUBSTANDARD,B8,"154,055.56",CURRENT
133045.0,FEMALE,30,8.0,SELF-EMPLOYED,"SOCIAL, COMMUNITY & PERSONAL SERVIC",SINGLE,588.0,II,B10,KES,253143.0,97038.99,"4,181.61",169.0,SUBSTANDARD,B8,"27,276.28",CURRENT
140987.0,MALE,55,2.0,EMPLOYED,"SOCIAL, COMMUNITY & PERSONAL SERVIC",SINGLE,610.0,II,B10,KES,498360.0,51000.0,"4,752.51",141.0,SUBSTANDARD,B8,"25,341.47",CURRENT
294581.0,FEMALE,43,0.0,EMPLOYED,FINANCE & INSURANCE,0,685.0,EE,A5,KES,1162239.9,109000.0,"9,537.03",49.0,WATCH,B7,"19,612.96",CURRENT
37997.0,FEMALE,31,1.0,EMPLOYED,BUSINESS SERVICES,MARRIED,585.0,II,B9,KES,0.0,580000.0,"54,048.22",110.0,SUBSTANDARD,B8,"225,607.26",CURRENT
434189.0,MALE,36,1.0,EMPLOYED,,0,631.0,HH,B20,KES,3603666.0,554000.0,"51,741.06",263.0,DOUBTFUL,B9,"501,381.45",EXPIRED
304721.0,FEMALE,29,0.0,EMPLOYED,TOURISM & HOSPITALITY,SINGLE,638.0,HH,A5,KES,159799.0,67000.0,"5,550.23",0.0,NORMAL,A1-A6,0,CURRENT
263326.0,FEMALE,42,0.0,EMPLOYED,GOVERNMENT,MARRIED,658.0,GG,A5,KES,2991589.0,715000.0,"66,628.39",0.0,NORMAL,A1-A6,0,CURRENT
339675.0,FEMALE,35,0.0,0,GOVERNMENT,MARRIED,688.0,EE,A5,KES,120042.0,127152.2,"3,569.65",0.0,NORMAL,A1-A6,0,CURRENT
42735.0,0,35,0.0,EMPLOYED,INDIVIDUALS,MARRIED,647.0,GG,A5,KES,219000.0,78076.11,"7,235.55",0.0,NORMAL,A1-A6,0,CURRENT
323076.0,FEMALE,38,1.0,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,MARRIED,760.0,AA,A5,KES,400720.0,63000.0,"5,293.31",0.0,NORMAL,A1-A6,0,CURRENT
104317.0,0,42,11.0,SELF-EMPLOYED,"SOCIAL, COMMUNITY & PERSONAL SERVIC",MARRIED,601.0,II,A5,KES,1300.0,383192.7,"35,711.37",18.0,NORMAL,A1-A6,"36,224.74",CURRENT
317473.0,MALE,#VALUE!,,0,BUSINESS SERVICES,0,,,B10,KES,657368.05,1000000.0,"93,186.55",169.0,SUBSTANDARD,B8,"603,335.80",CURRENT
164604.0,MALE,36,7.0,EMPLOYED,GOVERNMENT,MARRIED,663.0,FF,B11,KES,0.0,78746.91,"3,726.81",169.0,SUBSTANDARD,B8,"24,309.67",CURRENT
433292.0,FEMALE,47,0.0,EMPLOYED,BUSINESS SERVICES,0,778.0,AA,A5,KES,1764988.19,211593.44,"19,667.62",0.0,NORMAL,A1-A6,0,CURRENT
59798.0,MALE,47,8.0,EMPLOYED,,0,605.0,II,B20,KES,0.0,245000.0,"22,881.89",294.0,DOUBTFUL,B9,"230,635.72",EXPIRED
493582.0,0,39,2.0,0,INDIVIDUALS,0,611.0,II,A5,KES,376353.51,57000.0,"5,307.17",0.0,NORMAL,A1-A6,0,CURRENT
55842.0,MALE,35,8.0,EMPLOYED,TRANSPORT & COMMUNICATION,SINGLE,623.0,HH,B11,KES,60911.9,97000.0,"9,039.10",263.0,DOUBTFUL,B9,"90,891.63",CURRENT
176432.0,FEMALE,39,1.0,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,OTHER,606.0,II,B9,KES,0.0,87049.46,"7,218.15",49.0,WATCH,B7,"15,116.93",CURRENT
409660.0,FEMALE,40,1.0,EMPLOYED,FINANCE & INSURANCE,MARRIED,700.0,DD,B10,KES,0.0,170685.39,"6,719.71",0.0,NORMAL,A1-A6,0,CURRENT
499854.0,FEMALE,55,0.0,0,"SOCIAL, COMMUNITY & PERSONAL SERVIC",0,740.0,BB,A5,KES,2862850.8,720075.0,"67,495.44",18.0,NORMAL,A1-A6,"43,219.61",CURRENT
326345.0,MALE,38,1.0,EMPLOYED,"SOCIAL, COMMUNITY & PERSONAL SERVIC",0,600.0,II,B9,KES,446529.17,132062.45,"12,382.35",110.0,SUBSTANDARD,B8,"48,060.39",CURRENT
60998.0,FEMALE,29,2.0,EMPLOYED,,SINGLE,509.0,JJ,B20,KES,1300.0,90000.0,"8,405.59",294.0,DOUBTFUL,B9,"92,466.13",EXPIRED
36650.0,MALE,42,0.0,EMPLOYED,CONSUMER DURABLES,0,726.0,CC,A5,KES,74856.65,63341.25,"5,911.81",18.0,NORMAL,A1-A6,"6,005.89",CURRENT
332727.0,MALE,60,3.0,0,PETROLEUM & NATURAL GAS,0,640.0,GG,B10,KES,487695.0,600000.0,"55,911.93",141.0,SUBSTANDARD,B8,"242,649.36",CURRENT
195592.0,FEMALE,49,3.0,EMPLOYED,MANUFACTURING & PROCESSING,MARRIED,631.0,HH,B10,KES,0.0,51023.12,"4,756.56",78.0,WATCH,B7,"15,295.71",CURRENT
256343.0,FEMALE,33,2.0,EMPLOYED,GOVERNMENT,MARRIED,660.0,FF,B10,KES,774575.25,620816.08,"28,733.73",169.0,SUBSTANDARD,B8,"177,362.52",CURRENT
372514.0,MALE,27,3.0,SELF-EMPLOYED,TRANSPORT & COMMUNICATION,SINGLE,547.0,JJ,B11,KES,2714335.14,69000.0,"6,433.19",260.0,DOUBTFUL,B9,"62,592.06",CURRENT
323023.0,FEMALE,31,6.0,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,MARRIED,580.0,JJ,B11,KES,0.0,604000.0,"56,313.69",293.0,DOUBTFUL,B9,"595,421.84",CURRENT
372697.0,MALE,52,6.0,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,MARRIED,627.0,HH,B11,KES,755131.1,55058.26,"4,965.83",260.0,DOUBTFUL,B9,"46,167.31",CURRENT
76342.0,FEMALE,49,0.0,0,INDIVIDUALS,0,662.0,FF,B9,KES,271063.29,767000.0,"71,510.92",78.0,WATCH,B7,"224,137.28",CURRENT
114655.0,FEMALE,59,0.0,EMPLOYED,"SOCIAL, COMMUNITY & PERSONAL SERVIC",MARRIED,720.0,CC,A5,KES,492579.1,103810.72,"10,098.94",0.0,NORMAL,A1-A6,0,CURRENT
349392.0,0,56,4.0,0,INDIVIDUALS,0,621.0,HH,B11,KES,3464958.9,405000.0,"37,720.06",232.0,DOUBTFUL,B9,"299,361.34",CURRENT
403949.0,FEMALE,38,2.0,SELF-EMPLOYED,HUNTING LIVESTOCK AND FISHING,MARRIED,610.0,II,A5,KES,244119.0,51766.15,"4,286.63",0.0,NORMAL,A1-A6,0,CURRENT
99410.0,FEMALE,34,0.0,EMPLOYED,BUSINESS SERVICES,SINGLE,549.0,JJ,B9,KES,0.0,61000.0,"4,045.99",109.0,SUBSTANDARD,B8,"17,042.42",CURRENT
391779.0,0,39,1.0,EMPLOYED,"SOCIAL, COMMUNITY & PERSONAL SERVIC",MARRIED,663.0,FF,B9,KES,0.0,131330.16,"12,275.48",78.0,WATCH,B7,"36,555.26",CURRENT
41942.0,MALE,46,2.0,SELF-EMPLOYED,TRANSPORT & COMMUNICATION,MARRIED,573.0,JJ,B11,KES,1151200.0,134000.0,"12,493.44",201.0,DOUBTFUL,B9,"96,630.18",CURRENT
321934.0,MALE,35,2.0,SELF-EMPLOYED,AGRICULTURE,SINGLE,683.0,EE,B10,KES,3386166.76,667000.0,"62,187.46",201.0,DOUBTFUL,B9,"457,119.95",CURRENT
132330.0,MALE,48,2.0,EMPLOYED,TOURISM & HOSPITALITY,MARRIED,578.0,JJ,A5,KES,346487.2,62076.75,"5,793.38",0.0,NORMAL,A1-A6,0,CURRENT
461241.0,,#VALUE!,,0,WHOLESALE AND RETAIL TRADE,0,,,A5,KES,,113315.76,"10,595.81",0.0,NORMAL,A1-A6,0,CURRENT
115276.0,,49,0.0,0,FINANCE & INSURANCE,MARRIED,686.0,EE,A5,KES,,195000.0,"17,853.36",14.0,NORMAL,A1-A6,"17,629.94",CURRENT
490751.0,FEMALE,35,2.0,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,MARRIED,530.0,JJ,B10,KES,1378000.0,66000.0,"6,152.91",137.0,SUBSTANDARD,B8,"31,805.09",CURRENT
374040.0,MALE,37,1.0,EMPLOYED,FINANCE & INSURANCE,0,659.0,GG,B9,KES,2229903.5,76226.99,"7,102.76",14.0,NORMAL,A1-A6,"7,178.65",CURRENT
188122.0,FEMALE,30,0.0,SELF-EMPLOYED,BUSINESS SERVICES,SINGLE,687.0,EE,B9,KES,5000.0,800000.0,"74,580.70",76.0,WATCH,B7,"206,902.12",CURRENT
178532.0,MALE,45,0.0,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,0,671.0,FF,A5,KES,1107562.0,190021.51,"17,717.16",15.0,NORMAL,A1-A6,"17,921.03",CURRENT
401898.0,0,32,2.0,SELF-EMPLOYED,,MARRIED,526.0,JJ,B20,KES,0.0,13000.0,"2,934.46",288.0,DOUBTFUL,B9,"4,616.05",EXPIRED
469979.0,MALE,49,1.0,SELF-EMPLOYED,,MARRIED,613.0,II,B20,KES,455300.0,777000.0,"72,572.36",320.0,DOUBTFUL,B9,"879,347.18",EXPIRED
122507.0,MALE,31,0.0,EMPLOYED,NON PROFIT INSTITUTIONS,SINGLE,746.0,BB,A5,KES,282260.3,63000.0,"5,534.08",14.0,NORMAL,A1-A6,"5,593.21",CURRENT
446310.0,MALE,32,3.0,SELF-EMPLOYED,MANUFACTURING & PROCESSING,0,625.0,HH,B11,KES,15899978.85,150000.0,"13,983.87",288.0,DOUBTFUL,B9,"141,911.01",CURRENT
282657.0,MALE,35,0.0,EMPLOYED,BUSINESS SERVICES,0,709.0,DD,A5,KES,1069189.41,65000.0,"5,011.25",0.0,NORMAL,A1-A6,0,CURRENT
286434.0,MALE,51,9.0,EMPLOYED,NON PROFIT INSTITUTIONS,MARRIED,547.0,JJ,B11,KES,4806000.0,94000.0,"8,763.23",197.0,DOUBTFUL,B9,"67,662.88",CURRENT
363651.0,0,65,1.0,SELF-EMPLOYED,MANUFACTURING & PROCESSING,MARRIED,570.0,JJ,B9,KES,595502.66,85231.82,"8,079.24",106.0,SUBSTANDARD,B8,"32,101.45",CURRENT
393000.0,MALE,53,0.0,SELF-EMPLOYED,BUILDING & CONSTRUCTION,0,683.0,EE,B10,KES,1317768.49,70713.0,"6,675.38",0.0,NORMAL,A1-A6,0,CURRENT
332675.0,MALE,48,4.0,EMPLOYED,MANUFACTURING & PROCESSING,0,633.0,HH,B10,KES,5104130.0,341000.0,"31,790.04",167.0,SUBSTANDARD,B8,"206,119.89",CURRENT
14821.0,MALE,34,3.0,EMPLOYED,TOURISM & HOSPITALITY,MARRIED,532.0,JJ,A5,KES,507637.95,74000.0,"6,898.72",0.0,NORMAL,A1-A6,0,CURRENT
208116.0,FEMALE,31,1.0,EMPLOYED,,SINGLE,642.0,GG,B20,KES,500.0,92000.0,"8,592.86",288.0,DOUBTFUL,B9,"89,846.97",EXPIRED
310297.0,MALE,68,1.0,EMPLOYED,ELECTRICITY & WATER,MARRIED,542.0,JJ,B9,KES,251060.0,63052.44,"5,883.70",105.0,SUBSTANDARD,B8,"24,679.83",CURRENT
211443.0,MALE,42,0.0,SELF-EMPLOYED,TRANSPORT & COMMUNICATION,0,747.0,BB,A5,KES,1762900.0,237000.0,"22,099.39",0.0,NORMAL,A1-A6,0,CURRENT
462463.0,FEMALE,36,0.0,OTHER,BUSINESS SERVICES,0,594.0,II,A5,KES,2977040.0,147117.5,"12,812.33",0.0,NORMAL,A1-A6,0,CURRENT
397052.0,FEMALE,55,5.0,EMPLOYED,AGRICULTURE,MARRIED,618.0,HH,B9,KES,0.0,600480.92,"49,738.59",75.0,WATCH,B7,"153,428.55",CURRENT
350311.0,FEMALE,45,2.0,SELF-EMPLOYED,,SINGLE,543.0,JJ,B20,KES,0.0,97000.0,"9,060.11",319.0,DOUBTFUL,B9,"107,492.96",EXPIRED
355782.0,MALE,40,2.0,SELF-EMPLOYED,TRANSPORT & COMMUNICATION,MARRIED,590.0,II,A5,KES,1314552.0,300000.0,"27,973.90",13.0,NORMAL,A1-A6,"15,029.75",CURRENT
302965.0,MALE,42,0.0,SELF-EMPLOYED,TRANSPORT & COMMUNICATION,0,734.0,BB,A5,KES,9074976.0,149000.0,"13,893.71",0.0,NORMAL,A1-A6,0,CURRENT
37655.0,MALE,37,0.0,0,INDIVIDUALS,0,679.0,EE,A5,KES,2688860.22,406000.0,"37,843.93",0.0,NORMAL,A1-A6,0,CURRENT
266693.0,FEMALE,45,1.0,EMPLOYED,"SOCIAL, COMMUNITY & PERSONAL SERVIC",MARRIED,682.0,EE,B9,KES,0.0,54000.0,"5,035.44",12.0,NORMAL,A1-A6,"4,812.12",CURRENT
78789.0,MALE,48,2.0,EMPLOYED,BUILDING & CONSTRUCTION,MARRIED,591.0,II,A5,KES,2342693.0,762000.0,"71,620.54",0.0,NORMAL,A1-A6,0,CURRENT
36374.0,FEMALE,67,2.0,0,INDIVIDUALS,0,688.0,EE,A5,KES,462654.0,272108.94,"25,382.40",0.0,NORMAL,A1-A6,0,CURRENT
84418.0,MALE,53,3.0,EMPLOYED,,0,602.0,II,B20,KES,208500.0,569000.0,"53,154.58",256.0,DOUBTFUL,B9,"495,156.03",EXPIRED
450357.0,FEMALE,48,3.0,EMPLOYED,,MARRIED,612.0,II,B20,KES,1356910.0,168000.0,"15,694.15",144.0,SUBSTANDARD,B8,"88,589.12",EXPIRED
163696.0,FEMALE,65,2.0,SELF-EMPLOYED,BUSINESS SERVICES,MARRIED,653.0,GG,B10,KES,2320.0,146000.0,"13,614.45",162.0,SUBSTANDARD,B8,"85,370.63",CURRENT
